jersey_number,player_id,player_name,position,team_name,sortOrder,period,xCoord,yCoord,game_id
16.0,8477493.0,Aleksander Barkov,C,Florida Panthers,646,3,-86.0,5.0,2023020420
16.0,8477493.0,Aleksander Barkov,C,Florida Panthers,702,3,-81.0,0.0,2023020237
16.0,8477493.0,Aleksander Barkov,C,Florida Panthers,805,3,-20.0,12.0,2023020406
12.0,8479718.0,Alex Barré-Boulet,C,Tampa Bay Lightning,126,1,68.0,-20.0,2023020181
12.0,8479718.0,Alex Barré-Boulet,C,Tampa Bay Lightning,144,1,75.0,3.0,2023020070
12.0,8479718.0,Alex Barré-Boulet,C,Tampa Bay Lightning,187,1,-75.0,14.0,2023020398
12.0,8479718.0,Alex Barré-Boulet,C,Tampa Bay Lightning,187,1,-75.0,14.0,2023020398
12.0,8479718.0,Alex Barré-Boulet,C,Tampa Bay Lightning,187,1,-75.0,14.0,2023020398
12.0,8479718.0,Alex Barré-Boulet,C,Tampa Bay Lightning,283,2,-78.0,9.0,2023020133
12.0,8479718.0,Alex Barré-Boulet,C,Tampa Bay Lightning,349,2,-87.0,-6.0,2023020504
12.0,8479718.0,Alex Barré-Boulet,C,Tampa Bay Lightning,454,2,-81.0,-4.0,2023020086
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,36,1,-82.0,5.0,2023020080
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,168,1,-82.0,8.0,2023020050
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,184,1,-64.0,1.0,2023020293
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,212,1,-34.0,-2.0,2023020023
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,338,2,-83.0,-13.0,2023020361
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,404,2,-75.0,-16.0,2023020242
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,432,2,71.0,14.0,2023020080
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,454,2,71.0,-11.0,2023020210
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,506,3,62.0,24.0,2023020534
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,571,3,-61.0,-14.0,2023020080
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,593,3,-68.0,-8.0,2023020023
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,603,3,-78.0,-18.0,2023020479
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,683,3,-61.0,-21.0,2023020091
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,718,3,-68.0,-24.0,2023020479
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,747,3,-63.0,-13.0,2023020012
93.0,8479337.0,Alex DeBrincat,R,Detroit Red Wings,817,3,-17.0,27.0,2023020050
9.0,8480113.0,Alex Iafallo,L,Winnipeg Jets,27,1,-79.0,5.0,2023020058
9.0,8480113.0,Alex Iafallo,L,Winnipeg Jets,365,2,65.0,-11.0,2023020467
9.0,8480113.0,Alex Iafallo,L,Winnipeg Jets,389,2,69.0,-8.0,2023020580
9.0,8480113.0,Alex Iafallo,L,Winnipeg Jets,462,2,-76.0,5.0,2023020007
9.0,8480113.0,Alex Iafallo,L,Winnipeg Jets,547,3,81.0,2.0,2023020155
9.0,8480113.0,Alex Iafallo,L,Winnipeg Jets,673,3,-76.0,-8.0,2023020058
15.0,8477021.0,Alex Kerfoot,C,Arizona Coyotes,75,1,81.0,-15.0,2023020665
15.0,8477021.0,Alex Kerfoot,C,Arizona Coyotes,426,2,82.0,0.0,2023020509
15.0,8477021.0,Alex Kerfoot,C,Arizona Coyotes,448,2,85.0,2.0,2023020218
15.0,8477021.0,Alex Kerfoot,C,Arizona Coyotes,577,3,75.0,1.0,2023020581
15.0,8477021.0,Alex Kerfoot,C,Arizona Coyotes,747,3,82.0,0.0,2023020525
15.0,8477021.0,Alex Kerfoot,C,Arizona Coyotes,757,3,-68.0,34.0,2023020365
17.0,8473986.0,Alex Killorn,L,Anaheim Ducks,391,2,-68.0,20.0,2023020366
17.0,8473986.0,Alex Killorn,L,Anaheim Ducks,461,2,-85.0,-2.0,2023020425
17.0,8473986.0,Alex Killorn,L,Anaheim Ducks,568,3,-78.0,8.0,2023020476
17.0,8473986.0,Alex Killorn,L,Anaheim Ducks,672,3,87.0,-11.0,2023020299
15.0,8481618.0,Alex Newhook,C,Montréal Canadiens,91,1,-68.0,-7.0,2023020290
15.0,8481618.0,Alex Newhook,C,Montréal Canadiens,100,1,-75.0,22.0,2023020244
15.0,8481618.0,Alex Newhook,C,Montréal Canadiens,310,2,-85.0,-9.0,2023020005
15.0,8481618.0,Alex Newhook,C,Montréal Canadiens,344,2,72.0,-9.0,2023020337
15.0,8481618.0,Alex Newhook,C,Montréal Canadiens,635,3,71.0,-1.0,2023020005
15.0,8481618.0,Alex Newhook,C,Montréal Canadiens,710,3,-72.0,-9.0,2023020290
15.0,8481618.0,Alex Newhook,C,Montréal Canadiens,741,3,-82.0,12.0,2023020041
