jersey,person.id,person.fullName,position,team_name,goals
16,8479328,Julien Gauthier,Right Wing,New York Islanders,1
16,8481604,Pavel Dorofeyev,Left Wing,Vegas Golden Knights,0
17,8471218,Blake Wheeler,Right Wing,New York Rangers,1
17,8473422,Nick Foligno,Left Wing,Chicago Blackhawks,0
17,8473473,Milan Lucic,Left Wing,Boston Bruins,1
17,8473986,Alex Killorn,Center,Anaheim Ducks,0
17,8474709,Matt Martin,Left Wing,New York Islanders,0
17,8475220,Marcus Foligno,Left Wing,Minnesota Wild,0
17,8475760,Nick Bjugstad,Center,Arizona Coyotes,0
17,8475768,Jaden Schwartz,Center,Seattle Kraken,0
17,8475810,Bryan Rust,Right Wing,Pittsburgh Penguins,0
17,8476392,Adam Lowry,Center,Winnipeg Jets,0
17,8476779,Brad Hunt,Defenseman,Colorado Avalanche,0
17,8476981,Josh Anderson,Right Wing,Montréal Canadiens,3
17,8477018,Ben Hutton,Defenseman,Vegas Golden Knights,1
17,8478440,Dylan Strome,Center,Washington Capitals,1
17,8478542,Evan Rodrigues,Center,Florida Panthers,0
17,8479322,Wade Allison,Right Wing,Philadelphia Flyers,1
17,8479370,Tyson Jost,Center,Buffalo Sabres,0
17,8479425,Filip Hronek,Defenseman,Vancouver Canucks,0
17,8479772,Zack MacEwen,Center,Ottawa Senators,0
17,8479941,Justin Danforth,Right Wing,Columbus Blue Jackets,2
17,8481068,Yegor Sharangovich,Center,Calgary Flames,1
17,8482133,Thomas Bordeleau,Center,San Jose Sharks,1
18,8471686,Marc Staal,Defenseman,Philadelphia Flyers,0
18,8475786,Zach Hyman,Left Wing,Edmonton Oilers,1
18,8476292,Ondrej Palat,Left Wing,New Jersey Devils,1
18,8477341,Andreas Johnsson,Left Wing,Pittsburgh Penguins,0
18,8477429,Andrew Copp,Center,Detroit Red Wings,0
18,8478115,Pierre Engvall,Left Wing,New York Islanders,1
18,8478401,Pavel Zacha,Center,Boston Bruins,0
18,8478904,Steven Lorentz,Center,Florida Panthers,1
18,8479351,Sam Steel,Center,Dallas Stars,1
18,8480023,Robert Thomas,Center,St. Louis Blues,1
18,8480835,Jack Drury,Center,Carolina Hurricanes,0
18,8482116,Tim Stützle,Left Wing,Ottawa Senators,3
19,8473563,Nicklas Backstrom,Center,Washington Capitals,1
19,8475191,Reilly Smith,Right Wing,Pittsburgh Penguins,0
19,8475714,Calle Jarnkrok,Center,Toronto Maple Leafs,0
19,8477903,Garnet Hathaway,Right Wing,Philadelphia Flyers,0
19,8477955,Jared McCann,Left Wing,Seattle Kraken,0
19,8478873,Troy Terry,Right Wing,Anaheim Ducks,1
19,8478967,Lane Pederson,Center,Edmonton Oilers,1
19,8479314,Matthew Tkachuk,Left Wing,Florida Panthers,0
19,8480208,Drake Batherson,Right Wing,Ottawa Senators,1
19,8480853,Liam Foudy,Center,Columbus Blue Jackets,0
19,8481019,David Gustafsson,Center,Winnipeg Jets,3
19,8481522,Peyton Krebs,Center,Buffalo Sabres,1
19,8481556,John Beecher,Center,Boston Bruins,1
2,8474090,Brendan Smith,Defenseman,New Jersey Devils,0
2,8474568,Luke Schenn,Defenseman,Nashville Predators,0
2,8475825,Jani Hakanpää,Defenseman,Dallas Stars,0
2,8476331,Dylan DeMelo,Defenseman,Winnipeg Jets,0
2,8476874,Olli Maatta,Defenseman,Detroit Red Wings,0
2,8477244,Chad Ruhwedel,Defenseman,Pittsburgh Penguins,0
2,8479369,Andrew Peeke,Defenseman,Columbus Blue Jackets,0
2,8480071,Robin Salo,Defenseman,New York Islanders,0
2,8480727,Zach Whitecloud,Defenseman,Vegas Golden Knights,0
2,8480803,Evan Bouchard,Defenseman,Edmonton Oilers,0
2,8480884,Calen Addison,Defenseman,Minnesota Wild,0
2,8481122,Simon Benoit,Defenseman,Toronto Maple Leafs,0
2,8482245,Artem Zub,Defenseman,Ottawa Senators,0
20,8470600,Ryan Suter,Defenseman,Dallas Stars,0
20,8474034,Pat Maroon,Left Wing,Minnesota Wild,0
20,8474189,Lars Eller,Center,Pittsburgh Penguins,0
20,8475184,Chris Kreider,Left Wing,New York Rangers,1
20,8476399,Blake Coleman,Center,Calgary Flames,0
20,8476438,Brandon Saad,Left Wing,St. Louis Blues,0
20,8476905,Chandler Stephenson,Center,Vegas Golden Knights,0
20,8477392,Hudson Fasching,Right Wing,New York Islanders,0
20,8477426,Nicholas Paul,Left Wing,Tampa Bay Lightning,1
20,8478211,Dryden Hunt,Left Wing,Calgary Flames,2
20,8478427,Sebastian Aho,Center,Carolina Hurricanes,0
20,8479415,Michael McLeod,Center,New Jersey Devils,2
20,8479525,Ross Colton,Center,Colorado Avalanche,0
20,8480009,Eeli Tolvanen,Right Wing,Seattle Kraken,3
20,8480188,Fabian Zetterlund,Left Wing,San Jose Sharks,0
20,8480384,Alexander True,Center,Florida Panthers,0
20,8481517,Brett Leason,Right Wing,Anaheim Ducks,3
20,8481607,Albert Johansson,Defenseman,Detroit Red Wings,0
20,8483515,Juraj Slafkovsky,Left Wing,Montréal Canadiens,1
21,8473449,Kyle Okposo,Right Wing,Buffalo Sabres,0
21,8474037,James van Riemsdyk,Left Wing,Boston Bruins,1
21,8475151,Kyle Palmieri,Center,New York Islanders,0
21,8476393,Nick Cousins,Center,Florida Panthers,1
21,8476624,Barclay Goodrow,Center,New York Rangers,1
21,8476872,Scott Laughton,Center,Philadelphia Flyers,0
21,8477505,Alex Wennberg,Center,Seattle Kraken,0
21,8478010,Brayden Point,Center,Tampa Bay Lightning,0
21,8478472,Mathieu Joseph,Right Wing,Ottawa Senators,2
21,8478512,Austin Czarnik,Center,Detroit Red Wings,1
21,8479291,Kevin Rooney,Center,Calgary Flames,0
21,8479353,Brett Howden,Center,Vegas Golden Knights,1
21,8479520,Brandon Duhaime,Right Wing,Minnesota Wild,0
21,8480027,Jason Robertson,Left Wing,Dallas Stars,3
21,8481535,Nils Hoglander,Left Wing,Vancouver Canucks,0
21,8481656,Aliaksei Protas,Center,Washington Capitals,1
21,8482087,Kaiden Guhle,Defenseman,Montréal Canadiens,1
21,8482623,Josh Dunne,Center,Columbus Blue Jackets,0
22,8473453,Trevor Lewis,Center,Los Angeles Kings,0
22,8474610,Zac Dalpe,Center,Florida Panthers,0
22,8475197,Tyson Barrie,Defenseman,Nashville Predators,0
22,8476931,Jake McCabe,Defenseman,Toronto Maple Leafs,0
22,8477380,Jonny Brodzinski,Center,New York Rangers,0
22,8477416,Oliver Bjorkstrand,Right Wing,Seattle Kraken,0
22,8477488,Brett Pesce,Defenseman,Carolina Hurricanes,0
22,8477846,Ryan Carpenter,Center,San Jose Sharks,0
22,8477942,Kevin Fiala,Left Wing,Los Angeles Kings,1
22,8478020,Michael Amadio,Right Wing,Vegas Golden Knights,0
22,8478891,Mason Appleton,Center,Winnipeg Jets,0
22,8479402,Jake Bean,Defenseman,Columbus Blue Jackets,0
22,8479458,Nikita Zaitsev,Defenseman,Chicago Blackhawks,0
22,8479644,Matt Luff,Right Wing,Detroit Red Wings,0
22,8480855,Jack McBain,Center,Arizona Coyotes,0
22,8481540,Cole Caufield,Right Wing,Montréal Canadiens,1
22,8481592,Jakob Pelletier,Left Wing,Calgary Flames,0
22,8482097,Jack Quinn,Right Wing,Buffalo Sabres,0
22,8482145,Mavrik Bourque,Center,Dallas Stars,0
23,8474166,Alec Martinez,Defenseman,Vegas Golden Knights,0
23,8474612,Travis Hamonic,Defenseman,Ottawa Senators,0
23,8475958,Michael Sgarbossa,Center,Washington Capitals,0
23,8476474,Stefan Noesen,Right Wing,Carolina Hurricanes,1
23,8476902,Esa Lindell,Defenseman,Dallas Stars,0
23,8477409,Carter Verhaeghe,Center,Florida Panthers,0
23,8478067,Oskar Lindblom,Left Wing,San Jose Sharks,0
23,8479323,Adam Fox,Defenseman,New York Rangers,1
23,8479591,Michael Eyssimont,Center,Tampa Bay Lightning,0
23,8480021,Jack Studnicka,Center,Vancouver Canucks,0
23,8480798,Philipp Kurashev,Center,Chicago Blackhawks,1
23,8480807,Mattias Samuelsson,Defenseman,Buffalo Sabres,0
23,8481161,Jake Christiansen,Defenseman,Columbus Blue Jackets,0
23,8482078,Lucas Raymond,Left Wing,Detroit Red Wings,0
23,8482079,Marco Rossi,Center,Minnesota Wild,0
23,8482720,Matthew Knies,Left Wing,Toronto Maple Leafs,2
23,8482745,Mason McTavish,Center,Anaheim Ducks,0
24,8474089,Brad Malone,Center,Edmonton Oilers,1
24,8474567,Zach Bogosian,Defenseman,Tampa Bay Lightning,0
24,8476372,Nick Seeler,Defenseman,Philadelphia Flyers,0
24,8476429,Scott Mayfield,Defenseman,New York Islanders,0
24,8476467,Jamie Oleksiak,Defenseman,Seattle Kraken,0
24,8476479,Phillip Danault,Center,Los Angeles Kings,0
24,8476856,Matt Dumba,Defenseman,Arizona Coyotes,0
24,8478449,Roope Hintz,Center,Dallas Stars,0
24,8479671,Mathieu Olivier,Right Wing,Columbus Blue Jackets,0
24,8480011,Klim Kostin,Center,Detroit Red Wings,0
24,8480216,Jacob Peterson,Center,San Jose Sharks,0
24,8480459,Pius Suter,Center,Vancouver Canucks,0
24,8481528,Dylan Cozens,Center,Buffalo Sabres,0
24,8481554,Kaapo Kakko,Right Wing,New York Rangers,2
24,8481580,Connor McMichael,Center,Washington Capitals,1
24,8481587,Antti Tuomisto,Defenseman,Detroit Red Wings,1
24,8482088,Justin Sourdif,Right Wing,Florida Panthers,1
24,8482093,Seth Jarvis,Center,Carolina Hurricanes,0
25,8475795,Dylan McIlrath,Defenseman,Washington Capitals,0
25,8475797,Jarred Tinordi,Defenseman,Chicago Blackhawks,0
25,8476463,Jonas Brodin,Defenseman,Minnesota Wild,1
25,8477498,Darnell Nurse,Defenseman,Edmonton Oilers,0
25,8478443,Brandon Carlo,Defenseman,Boston Bruins,0
25,8479385,Jordan Kyrou,Center,St. Louis Blues,1
25,8479982,Conor Timmins,Defenseman,Toronto Maple Leafs,2
25,8480068,Ryan Poehling,Center,Philadelphia Flyers,2
25,8480222,Sebastian Aho,Defenseman,New York Islanders,0
25,8481186,Logan O'Connor,Right Wing,Colorado Avalanche,0
25,8481433,Taro Hirose,Left Wing,Detroit Red Wings,0
25,8481518,Nolan Foote,Left Wing,New Jersey Devils,0
25,8481712,Matej Blumel,Right Wing,Dallas Stars,2
25,8482671,Owen Power,Defenseman,Buffalo Sabres,1
25,8482713,Mackie Samoskevich,Right Wing,Florida Panthers,3
26,8473507,Jeff Petry,Defenseman,Detroit Red Wings,0
26,8475343,Nic Dowd,Center,Washington Capitals,0
26,8476918,Jimmy Vesey,Left Wing,New York Rangers,0
26,8476934,Brock McGinn,Left Wing,Anaheim Ducks,1
26,8477573,Nathan Walker,Left Wing,St. Louis Blues,0
26,8480073,Erik Brannstrom,Defenseman,Ottawa Senators,0
26,8480192,Johnathan Kovacevic,Defenseman,Montréal Canadiens,1
26,8480336,Sean Walker,Defenseman,Philadelphia Flyers,0
26,8480789,Oliver Wahlstrom,Right Wing,New York Islanders,0
26,8480839,Rasmus Dahlin,Defenseman,Buffalo Sabres,0
26,8480980,Connor Dewar,Center,Minnesota Wild,1
26,8481577,Philip Tomasino,Center,Nashville Predators,1
26,8484304,Uvis Balinskis,Defenseman,Florida Panthers,0
27,8474151,Ryan McDonagh,Defenseman,Nashville Predators,0
27,8475314,Anders Lee,Left Wing,New York Islanders,2
27,8476854,Hampus Lindholm,Defenseman,Boston Bruins,0
27,8476967,Brett Kulak,Defenseman,Edmonton Oilers,0
27,8477435,Ryan Graves,Defenseman,Pittsburgh Penguins,0
27,8477447,Shea Theodore,Defenseman,Vegas Golden Knights,0
