game_id,goal_no,player_id,player_name,team_name,period,x_adjusted,y_adjusted
2023020085,3,8477949.0,Alex Tuch,Buffalo Sabres,2,68.0,5.0
2023020322,4,8477949.0,Alex Tuch,Buffalo Sabres,2,75.0,-1.0
2023020322,5,8477949.0,Alex Tuch,Buffalo Sabres,3,65.0,-15.0
2023020301,6,8477949.0,Alex Tuch,Buffalo Sabres,3,77.0,-1.0
2023020165,7,8477949.0,Alex Tuch,Buffalo Sabres,3,79.0,-3.0
2023020165,8,8477949.0,Alex Tuch,Buffalo Sabres,3,66.0,-8.0
2023020248,1,8477505.0,Alex Wennberg,Seattle Kraken,1,82.0,-3.0
2023020333,2,8477505.0,Alex Wennberg,Seattle Kraken,1,86.0,11.0
2023020239,3,8477505.0,Alex Wennberg,Seattle Kraken,2,84.0,-3.0
2023020285,1,8480823.0,Alexander Alexeyev,Washington Capitals,1,33.0,26.0
2023020370,1,8482222.0,Alexander Barabanov,San Jose Sharks,3,82.0,3.0
2023020310,1,8482125.0,Alexander Holtz,New Jersey Devils,1,79.0,-11.0
2023020151,2,8482125.0,Alexander Holtz,New Jersey Devils,1,66.0,7.0
2023020344,3,8482125.0,Alexander Holtz,New Jersey Devils,1,54.0,-6.0
2023020113,4,8482125.0,Alexander Holtz,New Jersey Devils,1,76.0,2.0
2023020087,5,8482125.0,Alexander Holtz,New Jersey Devils,1,75.0,2.0
2023020296,6,8482125.0,Alexander Holtz,New Jersey Devils,1,69.0,-16.0
2023020245,7,8482125.0,Alexander Holtz,New Jersey Devils,3,83.0,9.0
2023020216,1,8481014.0,Alexander Romanov,New York Islanders,1,46.0,13.0
2023020288,1,8478851.0,Alexandre Carrier,Nashville Predators,3,67.0,-14.0
2023020210,1,8480074.0,Alexandre Texier,Columbus Blue Jackets,1,64.0,-1.0
2023020268,2,8480074.0,Alexandre Texier,Columbus Blue Jackets,1,60.0,12.0
2023020230,3,8480074.0,Alexandre Texier,Columbus Blue Jackets,3,86.0,7.0
2023020176,4,8480074.0,Alexandre Texier,Columbus Blue Jackets,3,87.0,-5.0
