jerseyNumber,person.id,person.fullName,team_name,goals
6.0,8482399.0,Billy Sweezey,Columbus Blue Jackets,0
20.0,8476399.0,Blake Coleman,Calgary Flames,0
46.0,8481481.0,Blake Lizotte,Los Angeles Kings,0
85.0,8481677.0,Blake Murray,Carolina Hurricanes,0
17.0,8471218.0,Blake Wheeler,New York Rangers,1
14.0,8477500.0,Bo Horvat,New York Islanders,1
46.0,8481553.0,Bobby Brink,Philadelphia Flyers,2
74.0,8482259.0,Bobby McMann,Toronto Maple Leafs,0
14.0,8478147.0,Bokondji Imama,Ottawa Senators,0
38.0,8476432.0,Boone Jenner,Columbus Blue Jackets,1
14.0,8479383.0,Boris Katchouk,Chicago Blackhawks,0
4.0,8481524.0,Bowen Byram,Colorado Avalanche,0
45.0,8484172.0,Brad Gardiner,Dallas Stars,0
17.0,8476779.0,Brad Hunt,Colorado Avalanche,0
24.0,8474089.0,Brad Malone,Edmonton Oilers,1
63.0,8473419.0,Brad Marchand,Boston Bruins,0
4.0,8482073.0,Braden Schneider,New York Rangers,0
76.0,8476869.0,Brady Skjei,Carolina Hurricanes,1
7.0,8480801.0,Brady Tkachuk,Ottawa Senators,2
15.0,8482061.0,Brandon Biro,Buffalo Sabres,2
70.0,8483548.0,Brandon Bussi,Boston Bruins,0
25.0,8478443.0,Brandon Carlo,Boston Bruins,0
21.0,8479520.0,Brandon Duhaime,Minnesota Wild,0
38.0,8479542.0,Brandon Hagel,Tampa Bay Lightning,1
62.0,8477986.0,Brandon Montour,Florida Panthers,0
20.0,8476438.0,Brandon Saad,St. Louis Blues,0
13.0,8479293.0,Brandon Tanev,Seattle Kraken,0
92.0,8482730.0,Brandt Clarke,Los Angeles Kings,0
3.0,8475188.0,Brayden McNabb,Vegas Golden Knights,0
94.0,8481167.0,Brayden Pachal,Vegas Golden Knights,0
21.0,8478010.0,Brayden Point,Tampa Bay Lightning,0
10.0,8475170.0,Brayden Schenn,St. Louis Blues,2
11.0,8475848.0,Brendan Gallagher,Montréal Canadiens,0
16.0,8476867.0,Brendan Gaunce,Columbus Blue Jackets,0
28.0,8477962.0,Brendan Lemieux,Carolina Hurricanes,0
2.0,8474090.0,Brendan Smith,New Jersey Devils,0
5.0,8475455.0,Brenden Dillon,Winnipeg Jets,0
78.0,8482747.0,Brennan Othmann,New York Rangers,2
8.0,8470613.0,Brent Burns,Carolina Hurricanes,0
21.0,8479353.0,Brett Howden,Vegas Golden Knights,1
27.0,8476967.0,Brett Kulak,Edmonton Oilers,0
20.0,8481517.0,Brett Leason,Anaheim Ducks,2
22.0,8477488.0,Brett Pesce,Carolina Hurricanes,0
8.0,8475208.0,Brian Dumoulin,Seattle Kraken,0
51.0,8477314.0,Brian Pinho,New York Islanders,0
6.0,8478444.0,Brock Boeser,Vancouver Canucks,0
7.0,8482122.0,Brock Faber,Minnesota Wild,0
26.0,8476934.0,Brock McGinn,Anaheim Ducks,1
29.0,8475754.0,Brock Nelson,New York Islanders,2
52.0,8481479.0,Brogan Rafferty,Detroit Red Wings,0
17.0,8475810.0,Bryan Rust,Pittsburgh Penguins,0
15.0,8473504.0,Cal Clutterbuck,New York Islanders,1
52.0,8479984.0,Cal Foote,New Jersey Devils,0
40.0,8477361.0,Cal Petersen,Philadelphia Flyers,0
27.0,8479985.0,Cale Fleury,Seattle Kraken,1
8.0,8480069.0,Cale Makar,Colorado Avalanche,0
6.0,8478452.0,Caleb Jones,Carolina Hurricanes,1
2.0,8480884.0,Calen Addison,Minnesota Wild,0
31.0,8482477.0,Calle Clang,Anaheim Ducks,0
19.0,8475714.0,Calle Jarnkrok,Toronto Maple Leafs,0
58.0,8483498.0,Calle Odelius,New York Islanders,0
43.0,8480157.0,Calle Rosen,St. Louis Blues,0
30.0,8475717.0,Calvin Pickard,Edmonton Oilers,0
44.0,8475177.0,Calvin de Haan,Tampa Bay Lightning,0
89.0,8474715.0,Cam Atkinson,Philadelphia Flyers,1
85.0,8479341.0,Cam Dineen,Edmonton Oilers,0
4.0,8475764.0,Cam Fowler,Anaheim Ducks,0
33.0,8475660.0,Cam Talbot,Los Angeles Kings,0
8.0,8481546.0,Cam York,Philadelphia Flyers,0
37.0,8483045.0,Cameron Butler,Columbus Blue Jackets,0
53.0,8478888.0,Cameron Hughes,Seattle Kraken,0
91.0,8479336.0,Carl Grundstrom,Los Angeles Kings,0
72.0,8480292.0,Carson Meyer,Columbus Blue Jackets,2
7.0,8477369.0,Carson Soucy,Vancouver Canucks,0
79.0,8479394.0,Carter Hart,Philadelphia Flyers,0
32.0,8482802.0,Carter Mazur,Detroit Red Wings,0
23.0,8477409.0,Carter Verhaeghe,Florida Panthers,0
53.0,8475231.0,Casey Cizikas,New York Islanders,0
1.0,8479193.0,Casey DeSmith,Vancouver Canucks,0
4.0,8479578.0,Casey Fitzgerald,Florida Panthers,0
37.0,8479999.0,Casey Mittelstadt,Buffalo Sabres,0
30.0,8480051.0,Cayden Primeau,Montréal Canadiens,0
2.0,8477244.0,Chad Ruhwedel,Pittsburgh Penguins,0
20.0,8476905.0,Chandler Stephenson,Vegas Golden Knights,0
13.0,8475745.0,Charlie Coyle,Boston Bruins,0
79.0,8479292.0,Charlie Lindgren,Washington Capitals,0
73.0,8479325.0,Charlie McAvoy,Boston Bruins,0
69.0,8478029.0,Chase De Leo,Anaheim Ducks,1
48.0,8484124.0,Chase Wheatcroft,Dallas Stars,0
60.0,8476904.0,Chris Driedger,Seattle Kraken,0
20.0,8475184.0,Chris Kreider,New York Rangers,1
8.0,8475690.0,Chris Tanev,Calgary Flames,0
67.0,8476919.0,Chris Tierney,New Jersey Devils,0
14.0,8475780.0,Chris Wagner,Colorado Avalanche,0
36.0,8478432.0,Christian Fischer,Detroit Red Wings,0
86.0,8478846.0,Christian Wolanin,Vancouver Canucks,0
28.0,8473512.0,Claude Giroux,Ottawa Senators,1
33.0,8483532.0,Clay Stevenson,Washington Capitals,0
9.0,8479343.0,Clayton Keller,Arizona Coyotes,1
5.0,8476879.0,Cody Ceci,Edmonton Oilers,0
