game_id,season,gameType,awayTeam.id,awayTeam.abbrev,awayTeam.logo,homeTeam.id,homeTeam.abbrev,homeTeam.logo,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
2024010044,20242025,1,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,14,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,Tampa Bay,Nashville,,,,,FUT,https://api-web.nhle.com/v1/gamecenter/2024010044/play-by-play,2024-10-07 23:00:00+00:00,11:00 pm,2024-10-07
2024010090,20242025,1,29,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,Pittsburgh,Columbus,3,7,8483487,8482446,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010090/play-by-play,2024-10-04 23:00:00+00:00,11:00 pm,2024-10-04
2024010091,20242025,1,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,New York,New York,2,5,8484958,8473575,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010091/play-by-play,2024-10-04 23:00:00+00:00,11:00 pm,2024-10-04
2024010092,20242025,1,9,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,Detroit,Ottawa,4,3,8479393,8476341,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010092/play-by-play,2024-10-04 23:00:00+00:00,11:00 pm,2024-10-04
2024010093,20242025,1,14,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,12,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,Carolina,Tampa Bay,1,2,8476906,8481611,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010093/play-by-play,2024-10-04 23:00:00+00:00,11:00 pm,2024-10-04
2024010094,20242025,1,30,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,Chicago,Minnesota,6,1,8476463,8470594,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010094/play-by-play,2024-10-05 00:30:00+00:00,12:30 am,2024-10-05
2024010095,20242025,1,52,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,20,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,Calgary,Winnipeg,3,2,8478398,8476945,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010095/play-by-play,2024-10-05 01:00:00+00:00,1:00 am,2024-10-05
2024010096,20242025,1,24,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,28,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,San Jose,Anaheim,3,2,,8480843,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010096/play-by-play,2024-10-05 02:00:00+00:00,2:00 am,2024-10-05
2024010097,20242025,1,22,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,Vancouver,Edmonton,1,4,8477369,8481668,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010097/play-by-play,2024-10-05 02:00:00+00:00,2:00 am,2024-10-05
2024010098,20242025,1,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,15,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,Washington,Boston,0,2,8481656,8479292,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010098/play-by-play,2024-10-05 21:00:00+00:00,9:00 pm,2024-10-05
2024010099,20242025,1,12,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,Nashville,Carolina,5,3,8480762,8477484,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010099/play-by-play,2024-10-05 21:00:00+00:00,9:00 pm,2024-10-05
2024010100,20242025,1,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,Toronto,Detroit,2,3,8475166,8479361,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010100/play-by-play,2024-10-05 23:00:00+00:00,11:00 pm,2024-10-05
2024010101,20242025,1,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,9,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,Ottawa,Montréal,2,4,8478020,8476999,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010101/play-by-play,2024-10-05 23:00:00+00:00,11:00 pm,2024-10-05
2024010102,20242025,1,21,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,59,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,Utah,Colorado,1,2,8477951,8478971,FINAL,https://api-web.nhle.com/v1/gamecenter/2024010102/play-by-play,2024-10-05 23:00:00+00:00,11:00 pm,2024-10-05
